Product Name,Final Price,MRP,Discount,Ram,Display,Camera,Battery,Warranty,Review
"LAVA Blaze Pro (Glass Green, 64 GB)","₹8,999","₹10,999",13% off,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,13MP + Depth Sensor | 8MP Front Camera,5000 mAh Battery,Brand Warranty of 1 Year,4.2
"Nokia G11 Plus DS 50MP Camera, 8MP+2MP Dual Front Camera (Grey, 64 GB)","₹8,490","₹1,999",55% off,4 GB RAM | 64 GB ROM,16.55 cm (6.517 inch) HD+ Display,32MP Rear Camera,1 Year Replacement Guarantee for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Battery from the Date of Purchase,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,3.6
"LAVA Blaze Nxt (Glass Green, 64 GB)","₹8,459","₹10,999",15% off,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP + 0.3MP | 5MP Front Camera,5000 mAh Lithium Polymer Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.1
"Infinix Hot 10 Play (Obsidian Black, 64 GB)","₹9,499","₹11,999",16% off,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,17.32 cm (6.82 inch) HD+ Display,13MP + 2MP + 0.3MP | 5MP Front Camera,5000 mAh Lithium Polymer Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.3
MTR M400,₹890,"₹12,999",23% off,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,13 MP + 2 MP Depth Lens | 8MP Front Camera,5000 mAh Lithium Polymer Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,3.5
"realme C31 (Light Silver, 32 GB)","₹9,290","₹13,999",35% off,3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD Display,50MP + 2MP | 8MP + 2MP Dual Front Camera,1 Year Manufacturer Warranty For Device and 6 Months Manufacturer Warranty For in-box Accessories Including Battery From The Date of Purchase,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.5
"realme C31 (Light Silver, 64 GB)","₹9,999","₹11,990",16% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD Display,13MP Rear Camera,5000 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.4
"Infinix Hot 11 2022 (Sunset Gold, 64 GB)","₹9,999","₹11,999",25% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) Full HD+ Display,8MP Rear Camera,6000 mAh Li-ion Polymer Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.2
"Nokia G11 Plus DS 50MP Camera, 8MP+2MP Dual Front Camera (Blue, 64 GB)","₹8,990","₹10,999",9% off,4 GB RAM | 64 GB ROM,16.55 cm (6.517 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,3000 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,3.6
"realme 2 (Diamond Blue, 64 GB)","₹9,990","₹14,499",38% off,4 GB RAM | 64 GB ROM,15.75 cm (6.2 inch) Display,13MP + 2MP | 8MP Front Camera,5000 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.5
